record_id,region,period,product,revenue,unit,scope,status
R01-202401-A,区域01,2024-01,核心业务,70,万元,合并经营收入,synthetic
R01-202401-B,区域01,2024-01,试点业务,6,万元,合并经营收入,synthetic
R01-202402-A,区域01,2024-02,核心业务,73,万元,合并经营收入,synthetic
R01-202402-B,区域01,2024-02,试点业务,6,万元,合并经营收入,synthetic
R01-202403-A,区域01,2024-03,核心业务,76,万元,合并经营收入,synthetic
R01-202403-B,区域01,2024-03,试点业务,6,万元,合并经营收入,synthetic
R01-202404-A,区域01,2024-04,核心业务,79,万元,合并经营收入,synthetic
R01-202404-B,区域01,2024-04,试点业务,6,万元,合并经营收入,synthetic
R01-202405-A,区域01,2024-05,核心业务,82,万元,合并经营收入,synthetic
R01-202405-B,区域01,2024-05,试点业务,7,万元,合并经营收入,synthetic
R01-202406-A,区域01,2024-06,核心业务,85,万元,合并经营收入,synthetic
R01-202406-B,区域01,2024-06,试点业务,7,万元,合并经营收入,synthetic
R01-202407-A,区域01,2024-07,核心业务,88,万元,合并经营收入,synthetic
R01-202407-B,区域01,2024-07,试点业务,7,万元,合并经营收入,synthetic
R01-202408-A,区域01,2024-08,核心业务,91,万元,合并经营收入,synthetic
R01-202408-B,区域01,2024-08,试点业务,7,万元,合并经营收入,synthetic
R01-202409-A,区域01,2024-09,核心业务,94,万元,合并经营收入,synthetic
R01-202409-B,区域01,2024-09,试点业务,8,万元,合并经营收入,synthetic
R01-202410-A,区域01,2024-10,核心业务,97,万元,合并经营收入,synthetic
R01-202410-B,区域01,2024-10,试点业务,8,万元,合并经营收入,synthetic
R01-202411-A,区域01,2024-11,核心业务,100,万元,合并经营收入,synthetic
R01-202411-B,区域01,2024-11,试点业务,8,万元,合并经营收入,synthetic
R01-202412-A,区域01,2024-12,核心业务,103,万元,合并经营收入,synthetic
R01-202412-B,区域01,2024-12,试点业务,8,万元,合并经营收入,synthetic
R01-202501-A,区域01,2025-01,核心业务,68,万元,合并经营收入,synthetic
R01-202501-B,区域01,2025-01,试点业务,7,万元,合并经营收入,synthetic
R01-202502-A,区域01,2025-02,核心业务,70,万元,合并经营收入,synthetic
R01-202502-B,区域01,2025-02,试点业务,7,万元,合并经营收入,synthetic
R01-202503-A,区域01,2025-03,核心业务,73,万元,合并经营收入,synthetic
R01-202503-B,区域01,2025-03,试点业务,8,万元,合并经营收入,synthetic
R01-202504-A,区域01,2025-04,核心业务,76,万元,合并经营收入,synthetic
R01-202504-B,区域01,2025-04,试点业务,8,万元,合并经营收入,synthetic
R01-202505-A,区域01,2025-05,核心业务,79,万元,合并经营收入,synthetic
R01-202505-B,区域01,2025-05,试点业务,8,万元,合并经营收入,synthetic
R01-202506-A,区域01,2025-06,核心业务,82,万元,合并经营收入,synthetic
R01-202506-B,区域01,2025-06,试点业务,9,万元,合并经营收入,synthetic
R01-202507-A,区域01,2025-07,核心业务,85,万元,合并经营收入,synthetic
R01-202507-B,区域01,2025-07,试点业务,9,万元,合并经营收入,synthetic
R01-202508-A,区域01,2025-08,核心业务,88,万元,合并经营收入,synthetic
R01-202508-B,区域01,2025-08,试点业务,9,万元,合并经营收入,synthetic
R01-202509-A,区域01,2025-09,核心业务,91,万元,合并经营收入,synthetic
R01-202509-B,区域01,2025-09,试点业务,9,万元,合并经营收入,synthetic
R01-202510-A,区域01,2025-10,核心业务,94,万元,合并经营收入,synthetic
R01-202510-B,区域01,2025-10,试点业务,10,万元,合并经营收入,synthetic
R01-202511-A,区域01,2025-11,核心业务,97,万元,合并经营收入,synthetic
R01-202511-B,区域01,2025-11,试点业务,10,万元,合并经营收入,synthetic
